Laptop HP 14s-dq5121TU i3 1215U/8GB/512GB/14'FHD/Win11,10.490.000 ₫
"Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6"" FHD/Win11",14.290.000 ₫
MacBook Air 13 inch M1 2020 8CPU 7GPU 8GB/256GB,18.090.000 ₫
"Laptop Acer Nitro 5 Tiger Gaming AN515-58-773Y i7 12700H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX3050Ti 4GB/Win11",22.990.000 ₫
"Laptop HP Gaming Victus 16-s0173AX R5-7640HS/16GB/512GB/16"" 144Hz/GeForce RTX3050 6GB/Win11_A9LG9PA",20.990.000 ₫
"Laptop Acer Aspire Lite AL16-51P-55N7 i5 1235U/16GB/512GB/16"" WUXGA/Win11",13.490.000 ₫
"Laptop Dell Inspiron N3520 i5 1235U/16GB/512GB/15.6""FHD/Win11/Office HS21",16.390.000 ₫
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11",16.290.000 ₫
"Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14"" 2.8K/Win11",16.290.000 ₫
"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11",17.990.000 ₫
Laptop HP Pavilion 15-eg3111TU i5 1335U/16GB/512GB/15.6'FHD/Win11,17.490.000 ₫
MacBook Air 13 inch M2 2022 8CPU 8GPU 8GB/256GB,22.990.000 ₫
"Laptop Acer Nitro 5 Tiger Gaming AN515-58-5193 i5 12450H/16GB/512GB/15.6""FHD/NVIDIA GeForce RTX4050 6GB/Win11",19.990.000 ₫
"Laptop Asus TUF Gaming FX507ZC4-HN095W i5 12500H/16GB/512GB/15.6""/Nvidia RTX3050 4GB/Win11",20.290.000 ₫
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX3050 6GB/Win11",21.490.000 ₫
"Laptop HP 15-fd0235TU i5 1334U/16GB/512GB SSD/15.6""FHD//Win11",16.290.000 ₫
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",14.490.000 ₫
"Laptop ASUS Vivobook 14 OLED A1405ZA-KM264W i5-12500H/16GB/512GB/14"" 2.8K/Win11",16.290.000 ₫
Laptop HP 14s-em0086AU R5 7520U/16GB/512GB/14'FHD/AMD Radeon Graphics/Win11,12.790.000 ₫
"Laptop Dell Inspiron N3530 i5 1334U/16GB/512GB/15.6""FHD/Win11/Office HS21",17.490.000 ₫
"Laptop HP 15-fc0089AU R7-7730U/16GB/512GB/15.6""FHD/AMD Radeon/Win11_A94XWPA",15.990.000 ₫
"Laptop Asus Vivobook 15 X1504ZA-NJ517W i5-1235U/16GB/512GB/15.6"" FHD/Win11",14.290.000 ₫
"Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6""FHD/Win 11",14.990.000 ₫
"Laptop Asus Vivobook X1504VA-NJ526W i5 1335U/16GB/512GB SSD/15.6"" FHD/Win11",15.890.000 ₫
